date,position,title,artist,isrc,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood
2022-07-01,1,RUNNING UP THAT HILL,KATE BUSH,GBCNR8500002,0.719,0.629,298933,0.545,0.00308,10,0.0604,-13.123,0,0.0546,108.376,4,0.194,agitated
2022-07-01,2,AFRAID TO FEEL,LF SYSTEM,GBAHT2200492,0.0166,0.578,177525,0.912,0.00362,1,0.273,-3.929,1,0.114,127.87,4,0.68,happy
2022-07-01,3,AS IT WAS,HARRY STYLES,USSM12200612,0.342,0.52,167303,0.731,0.00101,6,0.311,-5.338,0,0.0557,173.93,4,0.662,happy
2022-07-01,4,BREAK MY SOUL,BEYONCE,USSM12206234,0.0581,0.693,278282,0.887,2.71e-06,1,0.27,-5.039,0,0.0795,114.942,4,0.864,happy
2022-07-01,5,GREEN GREEN GRASS,GEORGE EZRA,GB1102200463,0.0695,0.685,167614,0.738,0.0,8,0.128,-4.413,1,0.0595,112.972,4,0.8,happy
2022-07-01,6,GO,CAT BURNS,GBKPL2013050,0.88,0.663,215000,0.251,0.0,6,0.0932,-9.87,0,0.0435,90.272,4,0.528,calm
2022-07-01,7,ABOUT DAMN TIME,LIZZO,USAT22202139,0.0995,0.836,191822,0.743,0.0,10,0.335,-6.305,0,0.0656,108.966,4,0.722,happy
2022-07-01,8,MASSIVE,DRAKE,USUG12204890,0.114,0.499,336924,0.671,0.0169,4,0.148,-6.774,0,0.0561,124.994,3,0.0557,agitated
2022-07-01,9,IFTK,TION WAYNE & LA ROUX,GBAHS2200651,0.0781,0.614,190685,0.82,8.18e-05,6,0.618,-4.32,0,0.226,146.235,4,0.739,happy
2022-07-01,10,LATE NIGHT TALKING,HARRY STYLES,USSM12200610,0.298,0.714,177955,0.728,0.0,10,0.106,-4.595,1,0.0468,114.996,4,0.901,happy
2022-07-01,11,CRAZY WHAT LOVE CAN DO,DAVID GUETTA/HILL/HENDERSON,UKWLG2200001,0.0282,0.601,169756,0.713,0.0,4,0.158,-3.758,0,0.0449,122.872,4,0.464,agitated
2022-07-01,12,GLIMPSE OF US,JOJI,USWB12201789,0.891,0.44,233456,0.317,4.78e-06,8,0.141,-9.258,1,0.0531,169.914,3,0.268,sad
2022-07-01,13,21 REASONS,NATHAN DAWE FT ELLA HENDERSON,GBAHS2200261,0.0165,0.621,155253,0.785,5.92e-06,6,0.0512,-4.499,1,0.11,123.96,4,0.779,happy
2022-07-01,14,JIMMY COOKS,DRAKE FT 21 SAVAGE,USUG12204898,0.00028,0.551,218365,0.664,5.47e-06,0,0.093,-4.75,1,0.184,156.026,4,0.415,agitated
2022-07-01,15,MUSIC FOR A SUSHI RESTAURANT,HARRY STYLES,USSM12200609,0.258,0.72,193813,0.715,0.0568,11,0.107,-4.652,1,0.04,107.041,4,0.357,agitated
2022-07-01,16,2STEP,ED SHEERAN,GBAHS2100722,0.169,0.763,153627,0.661,0.0,4,0.117,-5.592,0,0.056,95.002,4,0.632,happy
2022-07-01,17,PERU,FIREBOY DML & ED SHEERAN,USUYG1403104,0.572,0.956,187111,0.417,0.00071,7,0.0782,-7.892,0,0.0926,108.015,4,0.714,calm
