,date,position,title,isrc,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1648,2019-02-08,9,SOMEONE YOU LOVED,DEUM71806776,0.751,0.501,182161,0.405,0.0,1,0.105,-5.679,1,0.0319,109.891,4,0.446
1649,2019-02-08,10,SUNFLOWER,USUV71803661,0.533,0.755,157560,0.522,0.0,2,0.0685,-4.368,1,0.0575,89.96,4,0.925
1650,2019-02-08,11,OPTIONS,QM6P41894589,0.387,0.836,240082,0.621,9.16e-05,1,0.104,-4.685,0,0.0892,101.995,4,0.762
1651,2019-02-08,12,PLAY,GBUM71807392,0.0276,0.767,186560,0.788,2.13e-05,11,0.391,-7.718,0,0.0444,125.036,4,0.591
1652,2019-02-08,13,LOST WITHOUT YOU,UK8E21701401,0.932,0.386,225853,0.136,0.0,6,0.0653,-9.267,1,0.0458,67.016,3,0.0976
1653,2019-02-08,14,MIDDLE CHILD,QMJMT1902056,0.149,0.837,213594,0.364,0.0,8,0.271,-11.713,1,0.276,123.984,4,0.463
1654,2019-02-08,15,ALL I EVER WANTED,GBARL1801597,0.194,0.875,268000,0.679,0.0,8,0.124,-7.686,1,0.131,120.067,4,0.191
1655,2019-02-08,16,GUN LEAN,UKRL31800005,0.364,0.91,213747,0.643,1.67e-05,8,0.101,-8.929,1,0.432,139.95,4,0.729
1656,2019-02-08,17,WITHOUT ME,USUM71813499,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.533
1657,2019-02-08,18,GOING BAD,USAT21812712,0.259,0.889,180522,0.496,0.0,4,0.252,-6.365,0,0.0905,86.003,4,0.544
1658,2019-02-08,19,BABY SHARK,KRE671700001,0.259,0.829,80927,0.886,0.0,8,0.0559,-1.746,1,0.112,115.056,4,0.777
1659,2019-02-08,20,UNDECIDED,USRC11803551,0.288,0.407,185000,0.612,0.0,5,0.198,-4.387,0,0.13,96.943,4,0.488
1660,2019-02-08,21,ZEZE,USAT21811523,0.0521,0.861,228760,0.603,0.0,8,0.0924,-5.788,0,0.176,98.043,4,0.504
1661,2019-02-08,22,HELLO MY LOVE,GBUM71807035,0.0971,0.679,214212,0.717,0.0,0,0.124,-4.548,1,0.0384,121.96,4,0.255
1662,2019-02-08,23,HOLD MY GIRL,GBARL1701376,0.597,0.614,211764,0.527,0.0,10,0.11,-6.374,1,0.0302,121.941,4,0.354
1663,2019-02-08,24,LOST IN THE FIRE,USQX91803314,0.0933,0.658,202093,0.671,0.000927,2,0.115,-12.21,1,0.0363,100.966,4,0.166
1664,2019-02-08,25,SWAN SONG,GBAHT1900097,0.00579,0.588,182075,0.821,0.000275,5,0.208,-6.54,0,0.216,188.098,4,0.509
1665,2019-02-08,26,SHALLOW,USUM71813192,0.371,0.572,215733,0.385,0.0,7,0.231,-6.362,1,0.0308,95.799,4,0.323
1666,2019-02-08,27,CLOSE TO ME,GBUM71805350,0.0954,0.575,182623,0.758,0.0,1,0.394,-5.029,0,0.0618,144.107,4,0.493
