isrc,artist,artist_id,track_name,track_spotify_id
UKQNW2000001,AJ TRACEY FT MOSTACK,4Xi6LSfFqv26XgP9NKN26U,DINNER GUEST,0pMt7yNoZTu1gQByxkXaMu
QMCE32000105,MEGAN THEE STALLION,181bsRPaVXVlUKXrxwZfHK,SAVAGE,6Nth4LOPIqBNe7OKzXWeoK
USSM12212226,ZARA LARSSON,1Xylc3o4UrD53lo9CvFvVg,CAN'T TAME HER,4vOoQh9MhS9pyrbvc8LyMz
QMEU31894160,6IX9INE/MINAJ/MURDA BEATZ,7gZfnEnfiaHzxARJ2LeXrf,FEFE,1M6SuEJZJkZf2S419vIPkB
USUG11901472,TAYLOR SWIFT,06HL4z0CvFAxyc27GXpf02,CRUEL SUMMER,1BxfuPKGuaTgP7aM0Bbdwr
USRV82201712,SZA,7tYKF4w9nC0nq9CsPZTHyP,SHIRT,2wSTnntOPRi7aQneobFtU4
GBAHS2201158,TION WAYNE FT AITCH,7b79bQFziJFedJb75k6hFt,LET'S GO,1wUpbNyIar4OFPM1Fg3R3j
GB1302000922,JESS GLYNNE,4ScCswdRlyA23odg9thgIO,THIS CHRISTMAS,1i1rNVtxbE7rdFfpHuNq2j
QZFYX2083092,DRIPREPORT,3O5HD95HTEPgoPFOjAb7yV,SKECHERS,2alc8VZAzDgdAsL2QMk3hu
GBARL1701376,GEORGE EZRA,2ysnwxxNtSgbb9t1m2Ur4j,HOLD MY GIRL,42bbDWZ8WmXTH7PkYAlGLu
USMC14750470,BING CROSBY,6ZjFtWeHP9XN7FeKSUe80S,WHITE CHRISTMAS,4so0Wek9Ig1p6CRCHuINwW
GBAYE2100544,COLDPLAY,4gzpq5DPGxSnKTe4SA8HAU,HIGHER POWER,65OR4ywy8Cgs3FDHK82Idl
GBAHT1800505,DUA LIPA & BLACKPINK,6M2wZ9GZgrQXHCFfjv46we,KISS AND MAKE UP,7jr3iPu4O4bTCVwLMbdU2i
QMRSZ2101354,KSI,1nzgtKYFckznkcVMR3Gg4z,HOLIDAY,6nV2dFZXpv1JlqDWBeTXRl
GBUM72200940,A1 & J1/TION WAYNE,1WO1hFAkFbeo9tV3uVX7Dy,NIGHT AWAY (DANCE),7z5G2LOdV8okZn4yWg3q5g
USRC11903460,DOJA CAT,5cj0lLjcoR7YOSnhnX0Po5,STREETS,60ynsPSSKe6O3sfwRnIBRf
GBUM72000433,GLASS ANIMALS,4yvcSjfu4PC0CYQyLy4wSq,HEAT WAVES,3USxtqRwSYz57Ewm6wWRMp
USAT21813044,LIZZO,56oDRnqbIiwx4mymNEv7dS,JUICE,0k664IuFwVP557Gnx7RhIl
USUM72013327,KANYE WEST,2e4sMCgdXD5TkFquoTEA4j,HURRICANE,1wnraUPmcW37jYXJBppNME
GB2DY2000329,DIGGA D,57n1OF36WvtOeATY6WQ6iw,WOI,69F4G9WD5U1vKrpaCiLznl
GBUM72208606,CAITY BASER,7dJCdUO0l0K2WXzrzjYpmC,PRETTY BOYS,6scS0Pm1yO2KCzpOxAMPd7
GBAHS2200651,TION WAYNE & LA ROUX,7b79bQFziJFedJb75k6hFt,IFTK,488Xiprw65aQkRLjgl40bz
GBARL1900476,DA BEATFREAKZ/SWARMZ/DENO,3Q8Ow3li2nXzZhRPHMwR7h,MOTOROLA,0Q8aQ6xUAFOGCd0vR32FPf
USA2P2031043,CJ,7arQA31aZVS8yS6zUveWzb,WHOOPTY,5vGLcdRuSbUhD8ScwsGSdA
GBHMU1800051,LITTLE MIX FT NICKI MINAJ,3e7awlrlDSwF3iM0WBjGMp,WOMAN LIKE ME,222B3aljXx6fFwKmFjuBED
GBKPL2280163,LIZZY MCALPINE,1GmsPCcpKgF9OhlNXjOsbS,CEILINGS,2L9N0zZnd37dwF0clgxMGI
GB2DY2100498,D-BLOCK EUROPE/LIL PINO,5VadK1havLhK1OpKYsXv9y,KEVIN MCCALLISTER,6XYw65P3tKQZKk5fzdxjvG
GBUM72103544,BECKY HILL & DAVID GUETTA,4EPJlUEBy49EX1wuFOvtjK,REMEMBER,4laAKIq9ZxBCwf99rauPYb
GBAHS1901257,NATHAN DAWE FT JAYKAE,2gduEC76ry33RVurAvT05p,FLOWERS,1ppUvpXZOrnJ33eDtaCQ5a
USUM71813195,LADY GAGA,1HY2Jd0NmPuamShAr6KMms,ALWAYS REMEMBER US THIS WAY,2rbDhOo9Fh61Bbu23T2qCk
USAT21906978,RODDY RICCH,757aE44tKEUQEqRuT6GnEB,THE BOX,0nbXyq5TXYPCO7pr3N8S4I
USUM71911283,SHAWN MENDES/CAMILA CABELLO,7n2wHs1TKAczGzO7Dd2rGr,SENORITA,6v3KW9xbzN5yKLt9YKDYA2
GBCEN2100080,SIGALA & RITA ORA,1IueXOQyABrMOprrzwQJWN,YOU FOR ME,73QyyUMMvtNELmULI4FOsp
USAT22204903,BURNA BOY FT ED SHEERAN,3wcj11K77LjEY1PkEazffa,FOR MY HAND,0HaRLPnr887lcQM2YQzkff
GBARL2201628,HARRIS/TIMBERLAKE/HALSEY,3ZHU5AKrUmIPnCFfr82QER,STAY WITH ME,2WYs5LxOZfEyURXu7V0O1a
USCM51800206,DRAKE,3TVXtAsR1Inumwj472S9r4,IN MY FEELINGS,2G7V7zsVDxg1yRsu7Ew9RJ
UK6KW1800063,LADBABY,0gWa2AiDlbvF24aqoLT2c1,WE BUILT THIS CITY,5qZV10MMqx33zyQNsG5lSt
USAT22104506,LIZZO FT CARDI B,56oDRnqbIiwx4mymNEv7dS,RUMORS,6KgtcmCF9Ky68XC7ezxl3s
GB7TP1700091,YXNG BANE,5AbLpsnTQVNB3OEadYiVrK,VROOM,7eiqpFevZkE7iHDfNm6VA0
USUM72004304,LADY GAGA & ARIANA GRANDE,1HY2Jd0NmPuamShAr6KMms,RAIN ON ME,7ju97lgwC2rKQ6wwsf9no9
GBHMU1800034,CHEAT CODES & LITTLE MIX,7DMveApC7UnC2NPfPvlHSU,ONLY YOU,7IZ7S595rr4Q3E1Zga1Jev
GBJX32163033,EWAN MCVICAR,4d2NUjh9ZrzG1ZZdhpSDKH,TELL ME SOMETHING GOOD,5krhFNgUcYHwXlNPJJYzFM
USUG12002091,JUICE WRLD & HALSEY,4MCBfE4596Uoi2O4DtmEMz,LIFE'S A MESS,5wWAwzGp2OaaoIkwcz6wZs
UKRL31800005,RUSS,6nwZXJ4N9XU3X9vFG1Xi9m,GUN LEAN,1REuMeN9nUF9jQqkz30AH6
ZZOPM2106558,CENTRAL CEE,5H4yInM5zmHqpKIoMNAx4r,LITTLE BIT OF THIS,4lQ87x6SYGR9E8v28xqhh2
USUM71915731,POST MALONE/OSBOURNE/SCOTT,246dkjvS1zLTtiykXe5h60,TAKE WHAT YOU WANT,7CZyCXKG6d5ALeq41sLzbw
USUM71416339,ARIANA GRANDE,66CXWjxzNUsdJxJ2JdwvnR,SANTA TELL ME,0lizgQ7Qw35od7CYaoMBZb
GBUM71806109,JONAS BLUE/LIAM PAYNE/LENNON,1HBjj22wzbscIZ9sEb5dyf,POLAROID,49COPp81lGS9Hl9OwKlsKl
GB2DY2000532,M HUNCHO & NAFE SMALLZ,491U1PrV1EoQuhM0aUCn9r,5AM,5fR8pj1XyQ1eRQgGuP86o7
USUM72007941,DABABY FT RODDY RICCH,4r63FhuTkUYltbVAg5TQnk,ROCKSTAR,7ytR5pFWmSjzHJIeQkgog4
GBUM71804352,CATFISH & THE BOTTLEMEN,2xaAOVImG2O6lURwqperlD,LONGSHOT,2VcS3oKcOPkubN9LVzZ96l
GB1101801365,RAK-SU,1dfeR4HaWDbWqFHLkxsg1d,I WANT YOU TO FREAK,7h2yhVxcZOGyQdOwD4Hu8J
QZJRC1945204,SURF MESA FT EMILEE,1lmU3giNF3CSbkVSQmLpHQ,ILY (I LOVE YOU BABY),62aP9fBQKYKxi7PDXwcUAS
USUM71819361,ARIANA GRANDE,66CXWjxzNUsdJxJ2JdwvnR,THANK U NEXT,3e9HZxeyfWwjeyPAMmWSSQ
QM4TW2182337,UNITED KINGDOLLS,5B8MzBYbmhTUA47z1mJFMs,UK HUN,1lZS5NcFUVEZNYSWHtfJPk
GBHMU2000063,LITTLE MIX,3e7awlrlDSwF3iM0WBjGMp,CONFETTI,5zQ00D9j9MkQbsd9qmenBa
USSM22101801,CLINTON KANE,7okSU80WTrn4LXlyXYbX3P,I GUESS I'M IN LOVE,1dB1kzLOjTcmSHttRd8bnV
USQ4E2204040,JACK BLACK,0qpMYTgbXRi1ZcX6vend3T,PEACHES,4w9soAM7IrmYDhSXLp14p6
USUM72120301,IMAGINE DRAGONS/JID/LEAGUE OF,53XhwfbYqKCa1cC15pYq2q,ENEMY,3CIyK1V4JEJkg02E4EJnDl
SEBGA2000676,KYGO & TINA TURNER,23fqKkggKUBHNkbKtXEls4,WHAT'S LOVE GOT TO DO WITH IT,3Be7CLdHZpyzsVijme39cW
USUV72202087,LADY GAGA,1HY2Jd0NmPuamShAr6KMms,HOLD MY HAND,0oWraSo5ASJ0h1BEagTyEw
GBAHS2101279,JOEL CORRY FT MABEL,6DgP9otnZw5z6daOntINxp,I WISH,0YORgvqP1MotwCnDZzOwII
GBUM72005576,RAYE & RUDIMENTAL,5KKpBU5eC2tJDzf0wmlRp2,REGARDLESS,3DTqHfTGj1c6y2gDXsTez4
USUM71918343,HALSEY,26VFTg2z8YR0cCuwLzESi2,YOU SHOULD BE SAD,7lidXGPXPYLNThITAOTlkK
GB1302000010,STORMZY,2SrSdSvpminqmStGELCSNd,STILL DISAPPOINTED,78XK5PDIKWiDKcgiLl1x0o
ZZOPM2004171,CENTRAL CEE,5H4yInM5zmHqpKIoMNAx4r,6 FOR 6,1tLV0GD0WXQ1Z8BKOQscti
USUM72014954,MACHINE GUN KELLY,6TIYQ3jFPwQSRmorSezPxX,FORGET ME TOO,1VSuFS7PahCN3SWbOcQ98m
QZ22B1859046,DYNORO & GIGI D'AGOSTINO,3v6Ji4uoWtKRkhuDUaxi9n,IN MY MIND,0E9ZjEAyAwOXZ7wJC0PD33
USSM12203462,KID LAROI,2tIP7SsRs7vjIcLrU85W8J,THOUSAND MILES,2iWWjHB40qfaL5GV5LtnnG
UK3EM2000025,PAUL HARVEY & BBC PHILHARMONIC,3ogCRJqvwUJotjT5qE1G5D,FOUR NOTES - PAUL'S TUNE,30uXCFquS0xzhRYCn1b4w8
USUV72006721,ARIANA GRANDE,66CXWjxzNUsdJxJ2JdwvnR,POSITIONS,35mvY5S1H3J2QZyna3TFe0
USRC11803180,KHALID,6LuN9FCkKOj5PcnpouEgny,BETTER,6zeeWid2sgw4lap2jV61PZ
USUG12101253,OLIVIA RODRIGO,1McMsnEElThX1knmY4oliG,GOOD 4 U,2Cd0UuVtGCbILsRTfmmSl5
TCAEQ2083509,HOTEL UGLY,35WVTyRnKAoaGExqgktVyb,SHUT UP MY MOMS CALLING,3hxIUxnT27p5WcmjGUXNwx
GBCEL1800169,ARCTIC MONKEYS,7Ln80lUS6He07XvHI8qqHH,FOUR OUT OF FIVE,3nhzPKCm2yqGmgEhdAg19u
USUM72013367,POP SMOKE/50 CENT/RODDY RICCH,0eDvMgVFoNV3TpwtrVCoTj,THE WOO,1H7KnK26kc1YyellpbINEn
UK6KW2100809,LADBABY FT SHEERAN/ELTON JOHN,0gWa2AiDlbvF24aqoLT2c1,SAUSAGE ROLLS FOR EVERYONE,6fNd6OkGoACwHtAnf2wslm
USRC11801773,CHILDISH GAMBINO,73sIBHcqh3Z3NyqHKZ7FOL,THIS IS AMERICA,0b9oOr2ZgvyQu88wzixux9
GBAHT1900332,LIAM GALLAGHER,6sN51vEARnAAdBw1IKZ8Q9,SHOCKWAVE,5DJctS0yiHX7agIGnfgnu1
USRC12100544,DOJA CAT & WEEKND,5cj0lLjcoR7YOSnhnX0Po5,YOU RIGHT,0k4d5YPDr1r7FX77VdqWez
GBBBM8400019,WHAM,5lpH0xAS4fVfLkACg9DAuM,LAST CHRISTMAS,2FRnf9qhLbvw8fu4IBXx78
USUM71800463,ZEDD/MAREN MORRIS/GREY,2qxJFvFYMEDqd7ui6kSAcq,THE MIDDLE,09IStsImFySgyp0pIQdqAc
GBK3W1901072,1975,3mIj9lX2MWuHmhNCA7LSCW,ME & YOU TOGETHER SONG,6SrvijeageGUiFu9iCDdmM
GBARL1801571,MARK RONSON FT MILEY CYRUS,3hv9jJF3adDNsBSIQDqcjp,NOTHING BREAKS LIKE A HEART,27rdGxbavYJeBphck5MZAF
GBUM72205967,STORMZY,5Ppie0uPnbnvGBYRwYmlt0,MEL MADE ME DO IT,2pkZwJgXMeapPZ3BGoNNGB
